Call_ID,Customer_ID,Agent_ID,Call_Date,Channel,Product,Intent,Sentiment,Duration_Sec,Hold_Sec,Transfer_Count,Resolution,CSAT,Transcript_Snippet,Word_Count,ASR_Confidence,Silence_Ratio,Agent_Talk_Ratio,Customer_Talk_Ratio,FCR,Sentiment_Score,QA_Score
CALL0000001,C000108,AG003,2026-04-17,Inbound Call,Savings,Fraud Report,Neutral,523,85,0,Unresolved,4.7,Ada transaksi kartu yang bukan saya lakukan.,72,0.984,0.083,0.56,0.357,0,0.547,0.541
CALL0000002,C000928,AG019,2026-05-27,Inbound Call,Credit Card,Product Inquiry,Neutral,166,54,0,Unresolved,5.0,Mohon informasi mengenai biaya dan ketentuan produk.,28,0.853,0.045,0.646,0.309,0,0.464,0.578
CALL0000003,C000785,AG019,2026-02-07,Inbound Call,Mobile Banking,Information Request,Neutral,217,26,1,Resolved,3.4,Saya ingin mengetahui cara melakukan transaksi ini.,34,0.967,0.146,0.405,0.449,0,0.409,0.533
CALL0000004,C000527,AG011,2026-05-30,Outbound Call,Savings,Information Request,Positive,45,47,0,Unresolved,3.5,Penjelasannya jelas dan saya sangat terbantu.,12,0.975,0.105,0.474,0.421,0,0.823,0.562
CALL0000005,C000520,AG006,2026-08-10,Inbound Call,Debit Card,Product Inquiry,Negative,527,0,0,Unresolved,3.6,Saya kecewa karena transaksi saya bermasalah.,72,0.862,0.175,0.687,0.138,0,0.32,0.408
CALL0000006,C001030,AG002,2026-02-02,Inbound Call,Mobile Banking,Transaction Issue,Positive,373,111,0,Follow-up,2.9,Saya puas dengan solusi yang diberikan.,53,0.894,0.049,0.507,0.444,0,0.663,0.527
CALL0000007,C000104,AG001,2026-03-20,Outbound Call,Debit Card,Cancellation,Neutral,391,0,0,Follow-up,3.7,Saya ingin mengetahui cara melakukan transaksi ini.,56,1.0,0.135,0.525,0.34,0,0.514,0.526
CALL0000008,C000837,AG020,2026-06-16,Inbound Call,Savings,Information Request,Negative,116,53,0,Unresolved,5.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,23,0.925,0.293,0.431,0.276,0,0.164,0.61
CALL0000009,C000242,AG004,2026-05-29,Inbound Call,Credit Card,Complaint,Neutral,222,101,0,Resolved,3.3,Mohon informasi mengenai biaya dan ketentuan produk.,35,0.857,0.103,0.562,0.335,1,0.571,0.896
CALL0000010,C000113,AG039,2026-06-11,Inbound Call,Credit Card,Fraud Report,Negative,334,111,0,Resolved,5.0,Saya ingin melaporkan transaksi yang mencurigakan.,48,0.978,0.133,0.475,0.392,1,0.22,0.953
CALL0000011,C000632,AG010,2026-05-15,Outbound Call,Savings,Transaction Issue,Positive,299,0,1,Follow-up,3.7,Penjelasannya jelas dan saya sangat terbantu.,43,0.884,0.004,0.26,0.736,0,1.0,0.455
CALL0000012,C001170,AG027,2026-06-13,Inbound Call,KTA,Cancellation,Negative,441,60,1,Resolved,5.0,Saya sudah menunggu lama dan masalah ini belum selesai.,64,0.815,0.06,0.437,0.503,0,0.176,0.474
CALL0000013,C000883,AG027,2026-05-27,Inbound Call,Debit Card,Fraud Report,Negative,525,90,0,Resolved,3.5,Saya tidak melakukan transaksi ini.,71,0.961,0.152,0.338,0.51,1,0.323,0.948
CALL0000014,C000913,AG020,2026-01-18,Inbound Call,KTA,Transaction Issue,Positive,829,68,0,Follow-up,3.9,Saya puas dengan solusi yang diberikan.,110,0.875,0.097,0.493,0.41,0,0.881,0.487
CALL0000015,C000861,AG036,2026-06-30,Outbound Call,General,Information Request,Neutral,416,139,0,Unresolved,3.4,Mohon informasi mengenai biaya dan ketentuan produk.,59,0.949,0.163,0.37,0.467,0,0.543,0.47
CALL0000016,C000943,AG005,2026-04-18,Inbound Call,KPR,Information Request,Neutral,621,20,1,Unresolved,3.5,Saya ingin mengetahui cara melakukan transaksi ini.,85,0.881,0.15,0.537,0.313,0,0.503,0.486
CALL0000017,C000616,AG010,2026-01-13,Inbound Call,KTA,Cancellation,Neutral,271,0,0,Follow-up,5.0,Mohon informasi mengenai biaya dan ketentuan produk.,41,0.972,0.028,0.485,0.487,0,0.508,0.65
CALL0000018,C000154,AG011,2026-04-09,Outbound Call,Debit Card,Information Request,Negative,119,110,0,Resolved,4.4,Saya sudah menunggu lama dan masalah ini belum selesai.,24,0.941,0.191,0.33,0.479,1,0.201,0.993
