Feedback_ID,Text,Topic,Channel,Sentiment,Clean_Text,Topic_Model,Topic_Score,Sentiment_Priority,Priority
FB01861,Saya sangat puas dengan layanan bank ini,Savings,Mobile App,positive,saya sangat puas dengan layanan bank ini,1,0.09265928272652466,0,Low
FB00354,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB01334,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00906,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB01290,Customer service lambat merespons keluhan saya,Transaction,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB01274,Aplikasi sulit digunakan dan sering logout,ATM,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00939,Apa syarat pengajuan KPR,Mobile Banking,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB01732,Saya kecewa karena biaya administrasi terlalu tinggi,Customer Service,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB00066,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB01324,Proses transaksi berjalan lancar dan cepat,Mobile Banking,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB00057,Bagaimana cara mengganti PIN kartu,Mobile Banking,Branch,neutral,bagaimana cara mengganti pin kartu,2,0.04933707118670494,1,Medium
FB01293,ATM sering tidak bisa digunakan,Card,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB01119,Apa syarat pengajuan KPR,Savings,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00585,Saya suka fitur mobile banking yang lengkap,Loan,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00375,Saya tidak puas dengan pelayanan bank,Loan,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB00276,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral,saya ingin informasi tentang produk tabungan,2,0.16840665324179388,1,Medium
FB00747,Transfer berhasil tanpa masalah,Card,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB00129,Transaksi saya gagal dan saldo belum kembali,Customer Service,ATM,negative,transaksi saya gagal dan saldo belum kembali,4,0.07976518594179097,3,High
FB01647,Transfer berhasil tanpa masalah,Transaction,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB01853,ATM sering tidak bisa digunakan,Card,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB00675,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB01665,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01982,Aplikasi mobile banking sangat mudah digunakan,Mobile Banking,Branch,positive,aplikasi mobile banking sangat mudah digunakan,6,0.20989998208001634,0,Low
FB01084,Proses transaksi berjalan lancar dan cepat,Savings,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB01923,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB00100,Saya ingin mengetahui jam operasional cabang,Transaction,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB01180,Saya ingin mengetahui jam operasional cabang,Loan,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB00965,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00793,ATM sering tidak bisa digunakan,Transaction,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB00030,Customer service lambat merespons keluhan saya,Transaction,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00629,Transaksi saya gagal dan saldo belum kembali,Savings,ATM,negative,transaksi saya gagal dan saldo belum kembali,4,0.07976518594179097,3,High
FB00945,Saya suka fitur mobile banking yang lengkap,ATM,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00573,ATM sering tidak bisa digunakan,Savings,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB00908,Aplikasi banking sering error saat saya gunakan,Card,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB01081,Saya sangat puas dengan layanan bank ini,Customer Service,Mobile App,positive,saya sangat puas dengan layanan bank ini,1,0.09265928272652466,0,Low
FB00451,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB01610,Customer service lambat merespons keluhan saya,ATM,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB01291,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB01079,Apa syarat pengajuan KPR,Mobile Banking,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00255,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB00125,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01928,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
