Feedback_ID,Text,Topic,Channel,Sentiment
FB01861,Saya sangat puas dengan layanan bank ini,Savings,Mobile App,positive
FB00354,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative
FB01334,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative
FB00906,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive
FB01290,Customer service lambat merespons keluhan saya,Transaction,Email,negative
FB01274,Aplikasi sulit digunakan dan sering logout,ATM,ATM,negative
FB00939,Apa syarat pengajuan KPR,Mobile Banking,ATM,neutral
FB01732,Saya kecewa karena biaya administrasi terlalu tinggi,Customer Service,Branch,negative
FB00066,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive
FB01324,Proses transaksi berjalan lancar dan cepat,Mobile Banking,ATM,positive
FB00057,Bagaimana cara mengganti PIN kartu,Mobile Banking,Branch,neutral
FB01293,ATM sering tidak bisa digunakan,Card,Call Center,negative
FB01119,Apa syarat pengajuan KPR,Savings,ATM,neutral
FB00585,Saya suka fitur mobile banking yang lengkap,Loan,Email,positive
FB00375,Saya tidak puas dengan pelayanan bank,Loan,Email,negative
FB00276,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral
FB00747,Transfer berhasil tanpa masalah,Card,Branch,positive
FB00129,Transaksi saya gagal dan saldo belum kembali,Customer Service,ATM,negative
FB01647,Transfer berhasil tanpa masalah,Transaction,Branch,positive
FB01853,ATM sering tidak bisa digunakan,Card,Call Center,negative
FB00675,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative
FB01665,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive
FB01982,Aplikasi mobile banking sangat mudah digunakan,Mobile Banking,Branch,positive
FB01084,Proses transaksi berjalan lancar dan cepat,Savings,ATM,positive
FB01923,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive
FB00100,Saya ingin mengetahui jam operasional cabang,Transaction,Email,neutral
FB01180,Saya ingin mengetahui jam operasional cabang,Loan,Email,neutral
FB00965,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive
FB00793,ATM sering tidak bisa digunakan,Transaction,Call Center,negative
FB00030,Customer service lambat merespons keluhan saya,Transaction,Email,negative
FB00629,Transaksi saya gagal dan saldo belum kembali,Savings,ATM,negative
FB00945,Saya suka fitur mobile banking yang lengkap,ATM,Email,positive
FB00573,ATM sering tidak bisa digunakan,Savings,Call Center,negative
FB00908,Aplikasi banking sering error saat saya gunakan,Card,Call Center,negative
FB01081,Saya sangat puas dengan layanan bank ini,Customer Service,Mobile App,positive
FB00451,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative
FB01610,Customer service lambat merespons keluhan saya,ATM,Email,negative
FB01291,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative
FB01079,Apa syarat pengajuan KPR,Mobile Banking,ATM,neutral
FB00255,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative
FB00125,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive
FB01928,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative
FB00252,Saya kecewa karena biaya administrasi terlalu tinggi,ATM,Branch,negative
FB00586,Petugas bank ramah dan profesional,Card,Mobile App,positive
FB01569,Transaksi saya gagal dan saldo belum kembali,Mobile Banking,ATM,negative
FB00825,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive
FB00508,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative
FB00890,Customer service lambat merespons keluhan saya,Mobile Banking,Email,negative
FB00071,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative
FB01609,Transaksi saya gagal dan saldo belum kembali,Savings,ATM,negative
FB01533,ATM sering tidak bisa digunakan,ATM,Call Center,negative
FB00248,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative
