Call_ID,Customer_ID,Agent_ID,Call_Date,Channel,Product,Intent,Sentiment,Duration_Sec,Hold_Sec,Transfer_Count,Resolution,CSAT,Transcript_Snippet
CALL0000001,C000108,AG003,2026-04-17,Inbound Call,Savings,Fraud Report,Neutral,523,85,0,Unresolved,4.7,Ada transaksi kartu yang bukan saya lakukan.
CALL0000002,C000928,AG019,2026-05-27,Inbound Call,Credit Card,Product Inquiry,Neutral,166,54,0,Unresolved,5.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000003,C000785,AG019,2026-02-07,Inbound Call,Mobile Banking,Information Request,Neutral,217,26,1,Resolved,3.4,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000004,C000527,AG011,2026-05-30,Outbound Call,Savings,Information Request,Positive,45,47,0,Unresolved,3.5,Penjelasannya jelas dan saya sangat terbantu.
CALL0000005,C000520,AG006,2026-08-10,Inbound Call,Debit Card,Product Inquiry,Negative,527,0,0,Unresolved,3.6,Saya kecewa karena transaksi saya bermasalah.
CALL0000006,C001030,AG002,2026-02-02,Inbound Call,Mobile Banking,Transaction Issue,Positive,373,111,0,Follow-up,2.9,Saya puas dengan solusi yang diberikan.
CALL0000007,C000104,AG001,2026-03-20,Outbound Call,Debit Card,Cancellation,Neutral,391,0,0,Follow-up,3.7,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000008,C000837,AG020,2026-06-16,Inbound Call,Savings,Information Request,Negative,116,53,0,Unresolved,5.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000009,C000242,AG004,2026-05-29,Inbound Call,Credit Card,Complaint,Neutral,222,101,0,Resolved,3.3,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000010,C000113,AG039,2026-06-11,Inbound Call,Credit Card,Fraud Report,Negative,334,111,0,Resolved,5.0,Saya ingin melaporkan transaksi yang mencurigakan.
CALL0000011,C000632,AG010,2026-05-15,Outbound Call,Savings,Transaction Issue,Positive,299,0,1,Follow-up,3.7,Penjelasannya jelas dan saya sangat terbantu.
CALL0000012,C001170,AG027,2026-06-13,Inbound Call,KTA,Cancellation,Negative,441,60,1,Resolved,5.0,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000013,C000883,AG027,2026-05-27,Inbound Call,Debit Card,Fraud Report,Negative,525,90,0,Resolved,3.5,Saya tidak melakukan transaksi ini.
CALL0000014,C000913,AG020,2026-01-18,Inbound Call,KTA,Transaction Issue,Positive,829,68,0,Follow-up,3.9,Saya puas dengan solusi yang diberikan.
CALL0000015,C000861,AG036,2026-06-30,Outbound Call,General,Information Request,Neutral,416,139,0,Unresolved,3.4,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000016,C000943,AG005,2026-04-18,Inbound Call,KPR,Information Request,Neutral,621,20,1,Unresolved,3.5,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000017,C000616,AG010,2026-01-13,Inbound Call,KTA,Cancellation,Neutral,271,0,0,Follow-up,5.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000018,C000154,AG011,2026-04-09,Outbound Call,Debit Card,Information Request,Negative,119,110,0,Resolved,4.4,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000019,C001007,AG006,2026-04-15,Inbound Call,Credit Card,Fraud Report,Neutral,357,35,0,Unresolved,4.8,Ada transaksi kartu yang bukan saya lakukan.
CALL0000020,C000541,AG012,2026-01-21,Inbound Call,KTA,Cancellation,Neutral,132,0,1,Follow-up,3.1,Saya ingin menanyakan status pengajuan saya.
CALL0000021,C000600,AG013,2026-08-28,Inbound Call,Debit Card,Payment Issue,Neutral,423,56,0,Resolved,4.5,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000022,C000445,AG031,2026-02-23,Outbound Call,Mobile Banking,Information Request,Neutral,280,133,1,Resolved,3.3,Saya ingin menanyakan status pengajuan saya.
CALL0000023,C000219,AG013,2026-03-21,Inbound Call,Debit Card,Complaint,Negative,68,0,0,Unresolved,3.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000024,C001112,AG036,2026-04-16,Inbound Call,Savings,Cancellation,Positive,732,193,0,Resolved,4.2,Saya puas dengan solusi yang diberikan.
CALL0000025,C000938,AG031,2026-07-19,Inbound Call,General,Product Inquiry,Neutral,323,19,0,Resolved,4.2,Saya ingin menanyakan status pengajuan saya.
CALL0000026,C000772,AG037,2026-06-28,Inbound Call,General,Transaction Issue,Neutral,125,70,0,Resolved,4.1,Saya ingin menanyakan status pengajuan saya.
CALL0000027,C000483,AG005,2026-07-05,Outbound Call,General,Product Inquiry,Negative,582,0,2,Resolved,4.6,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000028,C000987,AG040,2026-02-26,Inbound Call,Credit Card,Information Request,Neutral,289,67,2,Resolved,4.7,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000029,C000654,AG025,2026-07-22,Inbound Call,Mobile Banking,Product Inquiry,Neutral,616,58,1,Unresolved,5.0,Saya ingin menanyakan status pengajuan saya.
CALL0000030,C000532,AG040,2026-07-19,Outbound Call,Credit Card,Cancellation,Neutral,288,0,0,Resolved,3.2,Mohon informasi mengenai biaya dan ketentuan produk.
